id;number_of_check_ins
2020_7_17_23;39.3
2020_7_18_0;19.5
2020_7_18_1;3.4
2020_7_18_2;1.2
2020_7_18_3;0.9
2020_7_18_4;1.2
2020_7_18_5;2.6
2020_7_18_6;9.5
2020_7_18_7;21.1
2020_7_18_8;39.3
2020_7_18_9;56.2
2020_7_18_10;69.6
2020_7_18_11;83.6
2020_7_18_12;94.3
2020_7_18_13;100.8
2020_7_18_14;100.7
2020_7_18_15;97.3
2020_7_18_16;93.6
2020_7_18_17;88.7
2020_7_18_18;75.2
2020_7_18_19;60.5
2020_7_18_20;51.7
2020_7_18_21;46.4
2020_7_18_22;44.8
2020_7_18_23;37.6
2020_7_19_0;18.9
2020_7_19_1;3.5
2020_7_19_2;1.3
2020_7_19_3;0.8
2020_7_19_4;1.1
2020_7_19_5;2.1
2020_7_19_6;3
2020_7_19_7;9.6
2020_7_19_8;17.8
2020_7_19_9;29.8
2020_7_19_10;41.5
2020_7_19_11;57.2
2020_7_19_12;64.9
2020_7_19_13;73.7
2020_7_19_14;74.7
2020_7_19_15;71.9
2020_7_19_16;69.9
2020_7_19_17;70.6
2020_7_19_18;59.6
2020_7_19_19;53.3
2020_7_19_20;50
2020_7_19_21;41
2020_7_19_22;33.2
2020_7_19_23;19.9
2020_7_20_0;6.7
2020_7_20_1;0.8
2020_7_20_2;0.4
2020_7_20_3;0.4
2020_7_20_4;1.1
2020_7_20_5;10.9
2020_7_20_6;45.3
2020_7_20_7;78.7
2020_7_20_8;83.6
2020_7_20_9;67.9
2020_7_20_10;66.19999999999999
2020_7_20_11;76.6
2020_7_20_12;89.80000000000001
2020_7_20_13;93.8
2020_7_20_14;98.2
2020_7_20_15;104.5
2020_7_20_16;115.9
2020_7_20_17;125.5
2020_7_20_18;88.2
2020_7_20_19;54.7
2020_7_20_20;43.3
2020_7_20_21;37.7
2020_7_20_22;32
2020_7_20_23;21.4
2020_7_21_0;8
2020_7_21_1;0.9
2020_7_21_2;0.4
2020_7_21_3;0.4
2020_7_21_4;1.1
2020_7_21_5;10.8
2020_7_21_6;45.7
2020_7_21_7;83.2
2020_7_21_8;94.4
2020_7_21_9;78.60000000000001
2020_7_21_10;74.1
2020_7_21_11;82.19999999999999
2020_7_21_12;94.1
2020_7_21_13;97.1
2020_7_21_14;100.7
2020_7_21_15;110.5
2020_7_21_16;122.9
2020_7_21_17;133.70000000000002
2020_7_21_18;93.3
2020_7_21_19;57.1
2020_7_21_20;45
2020_7_21_21;40.8
2020_7_21_22;35
2020_7_21_23;22.700000000000003
2020_7_22_0;8.200000000000001
2020_7_22_1;1
2020_7_22_2;0.4
2020_7_22_3;0.4
2020_7_22_4;1.1
2020_7_22_5;10.5
2020_7_22_6;43.9
2020_7_22_7;77.39999999999999
2020_7_22_8;88.5
2020_7_22_9;76.5
2020_7_22_10;74.5
2020_7_22_11;83.6
2020_7_22_12;94.8
2020_7_22_13;98.5
2020_7_22_14;101.8
2020_7_22_15;109.5
2020_7_22_16;123.6
2020_7_22_17;131.70000000000002
2020_7_22_18;92.6
2020_7_22_19;58.3
2020_7_22_20;45.7
2020_7_22_21;42.5
2020_7_22_22;37.5
2020_7_22_23;24.8
2020_7_23_0;8.9
2020_7_23_1;1.1
2020_7_23_2;0.4
2020_7_23_3;0.5
2020_7_23_4;1.1
2020_7_23_5;10.7
2020_7_23_6;44.5
2020_7_23_7;80
2020_7_23_8;92.3
2020_7_23_9;78
2020_7_23_10;74.1
2020_7_23_11;84
2020_7_23_12;95.9
2020_7_23_13;100.6
2020_7_23_14;102.9
2020_7_23_15;113.5
2020_7_23_16;125.3
2020_7_23_17;134.7
2020_7_23_18;97.1
2020_7_23_19;62.5
2020_7_23_20;50.7
2020_7_23_21;48.5
2020_7_23_22;40.5
2020_7_23_23;28.9
2020_7_24_0;11.3
2020_7_24_1;1.4
2020_7_24_2;0.5
2020_7_24_3;0.5
2020_7_24_4;1.2
2020_7_24_5;10.1
2020_7_24_6;39.7
2020_7_24_7;68.2
2020_7_24_8;80.60000000000001
2020_7_24_9;74.6
2020_7_24_10;73.89999999999999
2020_7_24_11;85
2020_7_24_12;99.5
2020_7_24_13;105.7
2020_7_24_14;110.8
2020_7_24_15;118.7
2020_7_24_16;124.7
2020_7_24_17;128.6
2020_7_24_18;103.4
2020_7_24_19;71.8
2020_7_24_20;58.1
2020_7_24_21;49.8
2020_7_24_22;43.7
2020_7_24_23;36.6
2020_7_25_0;18.2
2020_7_25_1;3.2
2020_7_25_2;1.2
2020_7_25_3;0.9
2020_7_25_4;1.1
2020_7_25_5;2.6
2020_7_25_6;9.4
2020_7_25_7;21.4
2020_7_25_8;38.4
2020_7_25_9;54.1
2020_7_25_10;66.9
2020_7_25_11;82.19999999999999
2020_7_25_12;90.8
2020_7_25_13;99.4
2020_7_25_14;99.7
2020_7_25_15;98.2
2020_7_25_16;95.4
2020_7_25_17;90.3
2020_7_25_18;74
2020_7_25_19;59.5
2020_7_25_20;53.400000000000006
2020_7_25_21;46.6
2020_7_25_22;43.3
2020_7_25_23;35.6
2020_7_26_0;18.4
2020_7_26_1;3.1
2020_7_26_2;1.3
2020_7_26_3;0.8
2020_7_26_4;1
2020_7_26_5;1.9
2020_7_26_6;3.1
2020_7_26_7;9.4
2020_7_26_8;17.9
2020_7_26_9;29.5
2020_7_26_10;42
2020_7_26_11;58.1
2020_7_26_12;66.60000000000001
2020_7_26_13;75.80000000000001
2020_7_26_14;77
2020_7_26_15;75.1
2020_7_26_16;72.4
2020_7_26_17;68.4
2020_7_26_18;58.3
2020_7_26_19;52.2
2020_7_26_20;47.6
2020_7_26_21;42.5
2020_7_26_22;34.6
2020_7_26_23;21.9
2020_7_27_0;7.6
2020_7_27_1;1
2020_7_27_2;0.4
2020_7_27_3;0.4
2020_7_27_4;1.1
2020_7_27_5;10.5
2020_7_27_6;42.8
2020_7_27_7;74
2020_7_27_8;79.3
2020_7_27_9;64.3
2020_7_27_10;62.4
2020_7_27_11;73.1
2020_7_27_12;87.2
2020_7_27_13;93.1
2020_7_27_14;96
2020_7_27_15;100.4
2020_7_27_16;110.8
2020_7_27_17;119.2
2020_7_27_18;84.3
2020_7_27_19;52.900000000000006
2020_7_27_20;41.3
2020_7_27_21;36.2
2020_7_27_22;30.700000000000003
2020_7_27_23;20.9
2020_7_28_0;7.2
2020_7_28_1;0.9
2020_7_28_2;0.4
2020_7_28_3;0.4
2020_7_28_4;1.1
2020_7_28_5;10.5
2020_7_28_6;44.7
2020_7_28_7;79.69999999999999
2020_7_28_8;89.5
2020_7_28_9;74.7
2020_7_28_10;71.2
2020_7_28_11;80.5
2020_7_28_12;92.1
2020_7_28_13;96.9
2020_7_28_14;100.3
2020_7_28_15;108.8
2020_7_28_16;121.8
2020_7_28_17;130.89999999999998
2020_7_28_18;92.3
2020_7_28_19;56.2
2020_7_28_20;43.6
2020_7_28_21;39.4
2020_7_28_22;33
2020_7_28_23;22
2020_7_29_0;7.8
2020_7_29_1;0.9
2020_7_29_2;0.4
2020_7_29_3;0.4
2020_7_29_4;1.2
2020_7_29_5;10.3
2020_7_29_6;42.9
2020_7_29_7;74.5
2020_7_29_8;85.4
2020_7_29_9;75.89999999999999
2020_7_29_10;73.2
2020_7_29_11;83.3
2020_7_29_12;94.4
2020_7_29_13;98.4
2020_7_29_14;102.1
2020_7_29_15;109.7
2020_7_29_16;121.4
2020_7_29_17;127.7
2020_7_29_18;91.8
2020_7_29_19;57.7
2020_7_29_20;46.1
2020_7_29_21;41.8
2020_7_29_22;36.7
2020_7_29_23;24.8
2020_7_30_0;9
2020_7_30_1;1.1
2020_7_30_2;0.4
2020_7_30_3;0.4
2020_7_30_4;1.2
2020_7_30_5;10.5
2020_7_30_6;42.6
2020_7_30_7;76.2
2020_7_30_8;87.6
2020_7_30_9;75.5
2020_7_30_10;72.7
2020_7_30_11;81.8
2020_7_30_12;92.5
2020_7_30_13;96.5
2020_7_30_14;101
2020_7_30_15;110
2020_7_30_16;122.6
2020_7_30_17;130.3
2020_7_30_18;93.2
2020_7_30_19;64.69999999999999
2020_7_30_20;53.6
2020_7_30_21;52
2020_7_30_22;43.7
2020_7_30_23;30.6
2020_7_31_0;12.1
2020_7_31_1;1.6
2020_7_31_2;0.5
2020_7_31_3;0.5
2020_7_31_4;1.2
2020_7_31_5;9.9
2020_7_31_6;37.2
2020_7_31_7;64.9
2020_7_31_8;77.5
2020_7_31_9;75.89999999999999
2020_7_31_10;76.6
2020_7_31_11;85.6
2020_7_31_12;94.6
2020_7_31_13;95.8
2020_7_31_14;99.1
2020_7_31_15;105
2020_7_31_16;110.2
2020_7_31_17;113.1
2020_7_31_18;93.5
2020_7_31_19;67
2020_7_31_20;56.5
2020_7_31_21;53
2020_7_31_22;50
2020_7_31_23;41.1
2020_8_1_0;19.2
2020_8_1_1;3.2
2020_8_1_2;1.3
2020_8_1_3;0.9
2020_8_1_4;1.1
2020_8_1_5;2.7
2020_8_1_6;9.3
2020_8_1_7;21.3
2020_8_1_8;37.7
2020_8_1_9;52.6
2020_8_1_10;63
2020_8_1_11;76.2
2020_8_1_12;84.7
2020_8_1_13;92.6
2020_8_1_14;93
2020_8_1_15;88.8
2020_8_1_16;85.5
2020_8_1_17;80.60000000000001
2020_8_1_18;67.6
2020_8_1_19;55.8
2020_8_1_20;50.2
2020_8_1_21;46.6
2020_8_1_22;44.6
2020_8_1_23;35.3
2020_8_2_0;17.3
2020_8_2_1;3.3
2020_8_2_2;1.3
2020_8_2_3;0.8
2020_8_2_4;1.2
2020_8_2_5;2.2
2020_8_2_6;3.3
2020_8_2_7;9.8
2020_8_2_8;18.6
2020_8_2_9;29.8
2020_8_2_10;42.1
2020_8_2_11;57.2
2020_8_2_12;65.3
2020_8_2_13;74
2020_8_2_14;73.2
2020_8_2_15;69.2
2020_8_2_16;68.1
2020_8_2_17;66.8
2020_8_2_18;57.7
2020_8_2_19;51.3
2020_8_2_20;48.6
2020_8_2_21;43.1
2020_8_2_22;34.6
2020_8_2_23;21.4
2020_8_3_0;7.5
2020_8_3_1;1
2020_8_3_2;0.4
2020_8_3_3;0.4
2020_8_3_4;1.2
2020_8_3_5;10.6
2020_8_3_6;42.4
2020_8_3_7;76.5
2020_8_3_8;83.1
2020_8_3_9;66.10000000000001
2020_8_3_10;62.6
2020_8_3_11;72.3
2020_8_3_12;83.2
2020_8_3_13;87.3
2020_8_3_14;92.7
2020_8_3_15;98.6
2020_8_3_16;109.5
2020_8_3_17;118.4
2020_8_3_18;82.3
2020_8_3_19;49.9
2020_8_3_20;40.1
2020_8_3_21;34.8
2020_8_3_22;30.5
2020_8_3_23;19.3
2020_8_4_0;6.7
2020_8_4_1;0.8
2020_8_4_2;0.3
2020_8_4_3;0.4
2020_8_4_4;1.1
2020_8_4_5;10.5
2020_8_4_6;43.7
2020_8_4_7;79.5
2020_8_4_8;90.1
2020_8_4_9;76.39999999999999
2020_8_4_10;72.1
2020_8_4_11;80
2020_8_4_12;90.8
2020_8_4_13;94.8
2020_8_4_14;98
2020_8_4_15;105.8
2020_8_4_16;119.8
2020_8_4_17;129.8
2020_8_4_18;91.1
2020_8_4_19;56.3
2020_8_4_20;44.6
2020_8_4_21;39.8
2020_8_4_22;34.4
2020_8_4_23;22.4
2020_8_5_0;7.9
2020_8_5_1;1
2020_8_5_2;0.4
2020_8_5_3;0.4
2020_8_5_4;1.2
2020_8_5_5;10.3
2020_8_5_6;41.5
2020_8_5_7;73.4
2020_8_5_8;85.7
2020_8_5_9;75.39999999999999
2020_8_5_10;72.7
2020_8_5_11;79.69999999999999
2020_8_5_12;89.5
2020_8_5_13;92.3
2020_8_5_14;93.6
2020_8_5_15;99.9
2020_8_5_16;112.5
2020_8_5_17;121.8
2020_8_5_18;88.1
2020_8_5_19;57.8
2020_8_5_20;46.2
2020_8_5_21;43.7
2020_8_5_22;38.6
2020_8_5_23;25.3
2020_8_6_0;9.2
2020_8_6_1;1.1
2020_8_6_2;0.4
2020_8_6_3;0.4
2020_8_6_4;1.1
2020_8_6_5;10.4
2020_8_6_6;41.8
2020_8_6_7;75.39999999999999
2020_8_6_8;87.5
2020_8_6_9;74.5
2020_8_6_10;69.4
2020_8_6_11;76.8
2020_8_6_12;85.8
2020_8_6_13;87.9
2020_8_6_14;90.5
2020_8_6_15;98.1
2020_8_6_16;112.3
2020_8_6_17;122.7
2020_8_6_18;89.30000000000001
2020_8_6_19;58.8
2020_8_6_20;49.4
2020_8_6_21;49.6
2020_8_6_22;42.3
2020_8_6_23;28.3
2020_8_7_0;11
2020_8_7_1;1.3
2020_8_7_2;0.5
2020_8_7_3;0.5
2020_8_7_4;1.2
2020_8_7_5;9.8
2020_8_7_6;37.2
2020_8_7_7;64.19999999999999
2020_8_7_8;76.5
2020_8_7_9;72
2020_8_7_10;70.5
2020_8_7_11;79.69999999999999
2020_8_7_12;89
2020_8_7_13;90.2
2020_8_7_14;93
2020_8_7_15;97.8
2020_8_7_16;103.4
2020_8_7_17;106.9
2020_8_7_18;89
2020_8_7_19;62.8
2020_8_7_20;52.8
2020_8_7_21;48.8
2020_8_7_22;44.7
2020_8_7_23;36.3
2020_8_8_0;16.7
2020_8_8_1;2.8
2020_8_8_2;1
2020_8_8_3;0.7
2020_8_8_4;1.1
2020_8_8_5;2.7
2020_8_8_6;9.3
2020_8_8_7;22.2
2020_8_8_8;40.8
2020_8_8_9;56
2020_8_8_10;64.5
2020_8_8_11;73
2020_8_8_12;77.2
2020_8_8_13;80.10000000000001
2020_8_8_14;78.89999999999999
2020_8_8_15;75.1
2020_8_8_16;72.9
2020_8_8_17;72.1
2020_8_8_18;62.7
2020_8_8_19;52.8
2020_8_8_20;48.6
2020_8_8_21;44.6
2020_8_8_22;42.5
2020_8_8_23;34.2
2020_8_9_0;16
2020_8_9_1;2.8
2020_8_9_2;1.1
2020_8_9_3;0.8
2020_8_9_4;1.1
2020_8_9_5;2.1
2020_8_9_6;3.2
2020_8_9_7;10
2020_8_9_8;19.9
2020_8_9_9;31.7
2020_8_9_10;42.5
2020_8_9_11;53.3
2020_8_9_12;58.7
2020_8_9_13;65.19999999999999
2020_8_9_14;64.19999999999999
2020_8_9_15;60.3
2020_8_9_16;58.2
2020_8_9_17;59.1
2020_8_9_18;52.7
2020_8_9_19;49.3
2020_8_9_20;47.4
2020_8_9_21;45.5
2020_8_9_22;38.4
2020_8_9_23;23.5
2020_8_10_0;8.200000000000001
2020_8_10_1;1
2020_8_10_2;0.4
2020_8_10_3;0.4
2020_8_10_4;1.2
2020_8_10_5;10.8
2020_8_10_6;43.2
2020_8_10_7;76.30000000000001
2020_8_10_8;82
2020_8_10_9;65.3
2020_8_10_10;62
2020_8_10_11;70.2
2020_8_10_12;78.60000000000001
2020_8_10_13;81.10000000000001
2020_8_10_14;81.60000000000001
2020_8_10_15;87.7
2020_8_10_16;98.8
2020_8_10_17;109.9
2020_8_10_18;77.8
2020_8_10_19;49.4
2020_8_10_20;40.6
2020_8_10_21;38.2
2020_8_10_22;33.300000000000004
2020_8_10_23;21.7
2020_8_11_0;7.9
2020_8_11_1;1
2020_8_11_2;0.4
2020_8_11_3;0.4
2020_8_11_4;1.1
2020_8_11_5;10.8
2020_8_11_6;44.2
2020_8_11_7;81
2020_8_11_8;90.5
2020_8_11_9;71.9
2020_8_11_10;65.4
2020_8_11_11;71.8
2020_8_11_12;80.19999999999999
2020_8_11_13;82.4
2020_8_11_14;83.7
2020_8_11_15;91.8
2020_8_11_16;105.6
2020_8_11_17;117
2020_8_11_18;82.19999999999999
2020_8_11_19;51.6
2020_8_11_20;40.4
2020_8_11_21;39.6
2020_8_11_22;34.9
2020_8_11_23;23
2020_8_12_0;8.200000000000001
2020_8_12_1;1.1
2020_8_12_2;0.4
2020_8_12_3;0.4
2020_8_12_4;1.2
2020_8_12_5;10.7
2020_8_12_6;42.2
2020_8_12_7;75.5
2020_8_12_8;84.6
2020_8_12_9;71
2020_8_12_10;65.8
2020_8_12_11;73
2020_8_12_12;81.4
2020_8_12_13;84.2
2020_8_12_14;84.5
2020_8_12_15;91.8
2020_8_12_16;102.6
2020_8_12_17;113.2
2020_8_12_18;82.69999999999999
2020_8_12_19;53.400000000000006
2020_8_12_20;43.6
2020_8_12_21;42.2
2020_8_12_22;38.2
2020_8_12_23;26.6
2020_8_13_0;9.7
2020_8_13_1;1.3
2020_8_13_2;0.5
2020_8_13_3;0.5
2020_8_13_4;1.2
2020_8_13_5;10.7
2020_8_13_6;43.6
2020_8_13_7;80
2020_8_13_8;90.3
2020_8_13_9;70.4
2020_8_13_10;64.19999999999999
2020_8_13_11;72.1
2020_8_13_12;81.8
2020_8_13_13;83.6
2020_8_13_14;87.5
2020_8_13_15;96.1
2020_8_13_16;108.6
2020_8_13_17;119.5
2020_8_13_18;87
2020_8_13_19;54.9
2020_8_13_20;44.8
2020_8_13_21;43.1
2020_8_13_22;35.4
2020_8_13_23;24.5
2020_8_14_0;9.8
2020_8_14_1;1.3
2020_8_14_2;0.5
2020_8_14_3;0.5
2020_8_14_4;1.2
2020_8_14_5;10.2
2020_8_14_6;39.1
2020_8_14_7;68.7
2020_8_14_8;80.69999999999999
2020_8_14_9;72.1
2020_8_14_10;70.3
2020_8_14_11;79.9
2020_8_14_12;92
2020_8_14_13;95.8
2020_8_14_14;99.3
2020_8_14_15;106.8
2020_8_14_16;114.5
2020_8_14_17;117.8
2020_8_14_18;95
2020_8_14_19;64.60000000000001
2020_8_14_20;51.6
2020_8_14_21;45.400000000000006
2020_8_14_22;39.5
2020_8_14_23;33.7
2020_8_15_0;16.8
2020_8_15_1;3
2020_8_15_2;1.1
2020_8_15_3;0.7
2020_8_15_4;1.1
2020_8_15_5;2.7
2020_8_15_6;9
2020_8_15_7;20.7
2020_8_15_8;37.7
2020_8_15_9;51.9
2020_8_15_10;62.5
2020_8_15_11;75
2020_8_15_12;83.6
2020_8_15_13;90.9
2020_8_15_14;91
2020_8_15_15;89
2020_8_15_16;85.7
2020_8_15_17;82.5
2020_8_15_18;69.7
2020_8_15_19;55.2
2020_8_15_20;50
2020_8_15_21;45.6
2020_8_15_22;42.2
2020_8_15_23;33.4
2020_8_16_0;17
2020_8_16_1;3.2
2020_8_16_2;1.2
2020_8_16_3;0.7
2020_8_16_4;1
2020_8_16_5;2
2020_8_16_6;3
2020_8_16_7;9.6
2020_8_16_8;18.700000000000003
2020_8_16_9;30.5
2020_8_16_10;42.4
2020_8_16_11;56.4
2020_8_16_12;63.70000000000001
2020_8_16_13;70.1
2020_8_16_14;69.2
2020_8_16_15;67.2
2020_8_16_16;64.69999999999999
2020_8_16_17;65.4
2020_8_16_18;59.6
2020_8_16_19;52.7
2020_8_16_20;45.900000000000006
2020_8_16_21;38.1
2020_8_16_22;30
2020_8_16_23;18.4
2020_8_17_0;6.4
2020_8_17_1;0.8
2020_8_17_2;0.3
2020_8_17_3;0.4
2020_8_17_4;1.2
2020_8_17_5;11.1
2020_8_17_6;47.5
2020_8_17_7;90.2
2020_8_17_8;98.2
2020_8_17_9;74
2020_8_17_10;72.5
2020_8_17_11;84.7
2020_8_17_12;97.6
2020_8_17_13;101.6
2020_8_17_14;106.5
2020_8_17_15;114.9
2020_8_17_16;129.20000000000002
2020_8_17_17;136.1
2020_8_17_18;93.3
2020_8_17_19;58.5
2020_8_17_20;46.4
2020_8_17_21;41.5
2020_8_17_22;34.5
2020_8_17_23;22.6
2020_8_18_0;7.9
2020_8_18_1;1.1
2020_8_18_2;0.4
2020_8_18_3;0.4
2020_8_18_4;1.2
2020_8_18_5;11.4
2020_8_18_6;48.5
2020_8_18_7;98.4
2020_8_18_8;114.4
2020_8_18_9;87.2
2020_8_18_10;80.9
2020_8_18_11;93.6
2020_8_18_12;107.7
2020_8_18_13;109.9
2020_8_18_14;114.6
2020_8_18_15;124.6
2020_8_18_16;139.3
2020_8_18_17;148.5
2020_8_18_18;102.1
2020_8_18_19;62.4
2020_8_18_20;50.8
2020_8_18_21;46.6
2020_8_18_22;39.5
2020_8_18_23;25.6
2020_8_19_0;9
2020_8_19_1;1.1
2020_8_19_2;0.4
2020_8_19_3;0.4
2020_8_19_4;1.2
2020_8_19_5;11.1
2020_8_19_6;46.5
2020_8_19_7;95.4
2020_8_19_8;111.4
2020_8_19_9;88.7
2020_8_19_10;82.60000000000001
2020_8_19_11;94
2020_8_19_12;108.6
2020_8_19_13;111.3
2020_8_19_14;117.2
2020_8_19_15;125
2020_8_19_16;136.4
2020_8_19_17;141.1
2020_8_19_18;100.7
2020_8_19_19;67
2020_8_19_20;54.2
2020_8_19_21;48.5
2020_8_19_22;40.5
2020_8_19_23;26.700000000000003
2020_8_20_0;9.4
2020_8_20_1;1.1
2020_8_20_2;0.4
2020_8_20_3;0.5
2020_8_20_4;1.2
2020_8_20_5;11
2020_8_20_6;48.1
2020_8_20_7;101.3
2020_8_20_8;119.4
2020_8_20_9;90.6
2020_8_20_10;84.7
2020_8_20_11;96.9
2020_8_20_12;112.7
2020_8_20_13;117.5
2020_8_20_14;125.3
2020_8_20_15;135.8
2020_8_20_16;145.8
2020_8_20_17;150.7
2020_8_20_18;106.4
2020_8_20_19;70.7
2020_8_20_20;58.6
2020_8_20_21;57.6
2020_8_20_22;48.4
2020_8_20_23;31.6
2020_8_21_0;12
2020_8_21_1;1.5
2020_8_21_2;0.6
2020_8_21_3;0.6
2020_8_21_4;1.3
2020_8_21_5;10.6
2020_8_21_6;42.5
2020_8_21_7;89.5
2020_8_21_8;106.8
2020_8_21_9;86.6
2020_8_21_10;85.1
2020_8_21_11;99.5
2020_8_21_12;117.6
2020_8_21_13;124.2
2020_8_21_14;132.1
2020_8_21_15;143.2
2020_8_21_16;146.3
2020_8_21_17;145.6
2020_8_21_18;115.6
2020_8_21_19;81.5
2020_8_21_20;67.2
2020_8_21_21;60.6
2020_8_21_22;51.7
2020_8_21_23;41.1
2020_8_22_0;19.9
2020_8_22_1;3.4
2020_8_22_2;1.2
2020_8_22_3;0.9
2020_8_22_4;1.2
2020_8_22_5;2.6
2020_8_22_6;9.2
2020_8_22_7;21.4
2020_8_22_8;39.5
2020_8_22_9;56.1
2020_8_22_10;67.7
2020_8_22_11;81.4
2020_8_22_12;91.2
2020_8_22_13;99.1
2020_8_22_14;98.9
2020_8_22_15;97.8
2020_8_22_16;93.4
2020_8_22_17;88.9
2020_8_22_18;74.2
2020_8_22_19;59.4
2020_8_22_20;53.3
2020_8_22_21;46.8
2020_8_22_22;42.9
2020_8_22_23;34.5
2020_8_23_0;18.4
2020_8_23_1;3.4
2020_8_23_2;1.4
2020_8_23_3;0.8
2020_8_23_4;1.1
2020_8_23_5;2.1
2020_8_23_6;3
2020_8_23_7;9.6
2020_8_23_8;19.2
2020_8_23_9;31.6
2020_8_23_10;43.6
2020_8_23_11;58.2
2020_8_23_12;67
2020_8_23_13;77.10000000000001
2020_8_23_14;78.10000000000001
2020_8_23_15;76.89999999999999
2020_8_23_16;74.89999999999999
2020_8_23_17;72.6
2020_8_23_18;61.9
2020_8_23_19;55.5
2020_8_23_20;50.6
2020_8_23_21;41
2020_8_23_22;31.8
2020_8_23_23;23.6
2020_8_24_0;7.9
2020_8_24_1;1
2020_8_24_2;0.4
2020_8_24_3;0.4
2020_8_24_4;1.2
2020_8_24_5;11.8
2020_8_24_6;52.3
2020_8_24_7;116.7
2020_8_24_8;128
2020_8_24_9;90
2020_8_24_10;85.6
2020_8_24_11;100.5
2020_8_24_12;119.4
2020_8_24_13;123.4
2020_8_24_14;134.1
2020_8_24_15;150.5
2020_8_24_16;160.20000000000002
2020_8_24_17;159.1
2020_8_24_18;105.9
2020_8_24_19;65.19999999999999
2020_8_24_20;52.6
2020_8_24_21;46.6
2020_8_24_22;38.2
2020_8_24_23;25
2020_8_25_0;8.8
2020_8_25_1;1
2020_8_25_2;0.4
2020_8_25_3;0.4
2020_8_25_4;1.2
2020_8_25_5;11.7
2020_8_25_6;53.900000000000006
2020_8_25_7;129.89999999999998
2020_8_25_8;146.5
2020_8_25_9;106.1
2020_8_25_10;97.1
2020_8_25_11;111.5
2020_8_25_12;135.4
2020_8_25_13;139
2020_8_25_14;152.10000000000002
2020_8_25_15;159.39999999999998
2020_8_25_16;173.4
2020_8_25_17;174.5
2020_8_25_18;113.5
2020_8_25_19;68.2
2020_8_25_20;54
2020_8_25_21;52.1
2020_8_25_22;42.4
2020_8_25_23;27.2
2020_8_26_0;9.5
2020_8_26_1;1
2020_8_26_2;0.4
2020_8_26_3;0.4
2020_8_26_4;1.2
2020_8_26_5;11.7
2020_8_26_6;54.4
2020_8_26_7;137.3
2020_8_26_8;159.5
2020_8_26_9;111
2020_8_26_10;98.1
2020_8_26_11;112.5
2020_8_26_12;137.7
2020_8_26_13;139.1
2020_8_26_14;153.70000000000002
2020_8_26_15;170.3
2020_8_26_16;180.9
2020_8_26_17;174.6
2020_8_26_18;117.2
2020_8_26_19;71.5
2020_8_26_20;56.5
2020_8_26_21;52.1
2020_8_26_22;44.3
2020_8_26_23;28.9
2020_8_27_0;11.2
2020_8_27_1;1.1
2020_8_27_2;0.5
2020_8_27_3;0.5
2020_8_27_4;1.1
2020_8_27_5;11.6
2020_8_27_6;53.5
2020_8_27_7;132.20000000000002
2020_8_27_8;151.9
2020_8_27_9;111.9
2020_8_27_10;102.4
2020_8_27_11;116.3
2020_8_27_12;138.6
2020_8_27_13;142.1
2020_8_27_14;156.4
2020_8_27_15;171.8
2020_8_27_16;179.10000000000002
2020_8_27_17;178.79999999999998
2020_8_27_18;125.3
2020_8_27_19;80
2020_8_27_20;66.5
2020_8_27_21;63.2
2020_8_27_22;49.9
2020_8_27_23;33.5
2020_8_28_0;13
2020_8_28_1;1.5
2020_8_28_2;0.6
2020_8_28_3;0.6
2020_8_28_4;1.2
2020_8_28_5;11.1
2020_8_28_6;47.5
2020_8_28_7;115.7
2020_8_28_8;134.4
2020_8_28_9;103
2020_8_28_10;100.6
2020_8_28_11;115.2
2020_8_28_12;140.1
2020_8_28_13;148.10000000000002
2020_8_28_14;163.20000000000002
2020_8_28_15;174.9
2020_8_28_16;177.9
2020_8_28_17;170.2
2020_8_28_18;132.3
2020_8_28_19;89.39999999999999
2020_8_28_20;71.5
2020_8_28_21;63.8
2020_8_28_22;53.8
2020_8_28_23;45
2020_8_29_0;22.6
2020_8_29_1;3.8
2020_8_29_2;1.4
2020_8_29_3;1.1
2020_8_29_4;1.2
2020_8_29_5;2.7
2020_8_29_6;9.3
2020_8_29_7;22.1
2020_8_29_8;41.8
2020_8_29_9;58.8
2020_8_29_10;72.4
2020_8_29_11;89.80000000000001
2020_8_29_12;102.5
2020_8_29_13;111.8
2020_8_29_14;112.1
2020_8_29_15;107.5
2020_8_29_16;104.9
2020_8_29_17;100.6
2020_8_29_18;82.4
2020_8_29_19;66.8
2020_8_29_20;58.8
2020_8_29_21;53.6
2020_8_29_22;47
2020_8_29_23;39.5
2020_8_30_0;21.1
2020_8_30_1;3.9
2020_8_30_2;1.7
2020_8_30_3;1
2020_8_30_4;1.3
2020_8_30_5;2.1
2020_8_30_6;2.9
2020_8_30_7;9.4
2020_8_30_8;19.3
2020_8_30_9;33
2020_8_30_10;46.5
2020_8_30_11;64.10000000000001
2020_8_30_12;74.80000000000001
2020_8_30_13;85.1
2020_8_30_14;86.7
2020_8_30_15;84.5
2020_8_30_16;82.19999999999999
2020_8_30_17;81.5
2020_8_30_18;66.60000000000001
2020_8_30_19;60.6
2020_8_30_20;54.9
2020_8_30_21;45.5
2020_8_30_22;33.4
2020_8_30_23;20.1
2020_8_31_0;7
2020_8_31_1;0.8
2020_8_31_2;0.3
2020_8_31_3;0.4
2020_8_31_4;1.3
2020_8_31_5;12.3
2020_8_31_6;60.1
2020_8_31_7;163.5
2020_8_31_8;180.7
