id;number_of_check_ins
2020_1_11_3;3.1
2020_1_11_4;3.6
2020_1_11_5;5.6
2020_1_11_6;14
2020_1_11_7;32.4
2020_1_11_8;64.9
2020_1_11_9;92.5
2020_1_11_10;112.8
2020_1_11_11;140.4
2020_1_11_12;165.1
2020_1_11_13;188
2020_1_11_14;189.3
2020_1_11_15;190.2
2020_1_11_16;192.7
2020_1_11_17;184.3
2020_1_11_18;141.9
2020_1_11_19;109.2
2020_1_11_20;89.39999999999999
2020_1_11_21;79
2020_1_11_22;81.8
2020_1_11_23;75.2
2020_1_12_0;40.5
2020_1_12_1;9
2020_1_12_2;4.1000000000000005
2020_1_12_3;3.8
2020_1_12_4;4.2
2020_1_12_5;4.7
2020_1_12_6;4.9
2020_1_12_7;13.9
2020_1_12_8;29.4
2020_1_12_9;53.8
2020_1_12_10;74.5
2020_1_12_11;97.1
2020_1_12_12;118
2020_1_12_13;135.4
2020_1_12_14;135.1
2020_1_12_15;134
2020_1_12_16;138.4
2020_1_12_17;133.20000000000002
2020_1_12_18;106.9
2020_1_12_19;91.5
2020_1_12_20;80
2020_1_12_21;68.6
2020_1_12_22;48.5
2020_1_12_23;27.2
2020_1_13_0;8.9
2020_1_13_1;1.1
2020_1_13_2;0.4
2020_1_13_3;0.7
2020_1_13_4;2.1
2020_1_13_5;23.1
2020_1_13_6;147.10000000000002
2020_1_13_7;465.4
2020_1_13_8;523.7
2020_1_13_9;286.2
2020_1_13_10;213.4
2020_1_13_11;210.4
2020_1_13_12;256.1
2020_1_13_13;250.6
2020_1_13_14;296.5
2020_1_13_15;372.3
2020_1_13_16;448.7
2020_1_13_17;478
2020_1_13_18;251.4
2020_1_13_19;123
2020_1_13_20;86.5
2020_1_13_21;76.30000000000001
2020_1_13_22;59.2
2020_1_13_23;32.4
2020_1_14_0;10.3
2020_1_14_1;1.4
2020_1_14_2;0.6
2020_1_14_3;0.8
2020_1_14_4;2
2020_1_14_5;23.6
2020_1_14_6;155.5
2020_1_14_7;511.6000000000001
2020_1_14_8;579
2020_1_14_9;309.1
2020_1_14_10;219.4
2020_1_14_11;218
2020_1_14_12;275.4
2020_1_14_13;273.5
2020_1_14_14;327.6
2020_1_14_15;391
2020_1_14_16;465.5
2020_1_14_17;508.7000000000001
2020_1_14_18;275.7
2020_1_14_19;131.3
2020_1_14_20;92.9
2020_1_14_21;85.7
2020_1_14_22;70.6
2020_1_14_23;38.9
2020_1_15_0;11.9
2020_1_15_1;1.3
2020_1_15_2;0.6
2020_1_15_3;0.8
2020_1_15_4;2.2
2020_1_15_5;21.2
2020_1_15_6;134.3
2020_1_15_7;444.9
2020_1_15_8;513.1
2020_1_15_9;290.8
2020_1_15_10;217
2020_1_15_11;223.2
2020_1_15_12;289.7
2020_1_15_13;273.8
2020_1_15_14;310.90000000000003
2020_1_15_15;374.4
2020_1_15_16;429.7000000000001
2020_1_15_17;447.1
2020_1_15_18;253
2020_1_15_19;129.89999999999998
2020_1_15_20;93.8
2020_1_15_21;89.80000000000001
2020_1_15_22;75.30000000000001
2020_1_15_23;41.3
2020_1_16_0;13.1
2020_1_16_1;1.3
2020_1_16_2;0.6
2020_1_16_3;0.9
2020_1_16_4;2.2
2020_1_16_5;22.1
2020_1_16_6;142.9
2020_1_16_7;465.2
2020_1_16_8;542.6999999999999
2020_1_16_9;302.8
2020_1_16_10;227.8
2020_1_16_11;224
2020_1_16_12;275.1
2020_1_16_13;273.3
2020_1_16_14;320.40000000000003
2020_1_16_15;382.7
2020_1_16_16;446.4
2020_1_16_17;481.9
2020_1_16_18;279.5
2020_1_16_19;149.29999999999998
2020_1_16_20;110.7
2020_1_16_21;108.5
2020_1_16_22;89.2
2020_1_16_23;53.5
2020_1_17_0;17.4
2020_1_17_1;1.8
2020_1_17_2;0.8
2020_1_17_3;1.2
2020_1_17_4;2.8
2020_1_17_5;19.9
2020_1_17_6;110.6
2020_1_17_7;382.9
2020_1_17_8;461.6
2020_1_17_9;273.4
2020_1_17_10;214.1
2020_1_17_11;225.1
2020_1_17_12;287.5
2020_1_17_13;287.1
2020_1_17_14;324.79999999999995
2020_1_17_15;367.4
2020_1_17_16;392.3
2020_1_17_17;409.7
2020_1_17_18;272.6
2020_1_17_19;161.89999999999998
2020_1_17_20;120.5
2020_1_17_21;106.4
2020_1_17_22;101.7
2020_1_17_23;85.3
2020_1_18_0;42.4
2020_1_18_1;8.4
2020_1_18_2;3.4
2020_1_18_3;3.2
2020_1_18_4;3.8
2020_1_18_5;5.9
2020_1_18_6;14.8
2020_1_18_7;35.1
2020_1_18_8;70.6
2020_1_18_9;100.2
2020_1_18_10;118.9
2020_1_18_11;146.9
2020_1_18_12;173.2
2020_1_18_13;192
2020_1_18_14;198.2
2020_1_18_15;197.2
2020_1_18_16;192.7
2020_1_18_17;186.1
2020_1_18_18;149.4
2020_1_18_19;113.4
2020_1_18_20;93.6
2020_1_18_21;87.5
2020_1_18_22;87.4
2020_1_18_23;79.8
2020_1_19_0;41.2
2020_1_19_1;9.2
2020_1_19_2;4.1000000000000005
2020_1_19_3;4.1000000000000005
2020_1_19_4;4.4
2020_1_19_5;4.8
2020_1_19_6;5.2
2020_1_19_7;14.6
2020_1_19_8;32.099999999999994
2020_1_19_9;58.2
2020_1_19_10;78.39999999999999
2020_1_19_11;105.9
2020_1_19_12;131.70000000000002
2020_1_19_13;151.2
2020_1_19_14;146.4
2020_1_19_15;142
2020_1_19_16;154
2020_1_19_17;142.4
2020_1_19_18;114.6
2020_1_19_19;95.9
2020_1_19_20;83.1
2020_1_19_21;66.9
2020_1_19_22;48.8
2020_1_19_23;28.8
2020_1_20_0;8.7
2020_1_20_1;1.1
2020_1_20_2;0.5
2020_1_20_3;0.7
2020_1_20_4;1.9
2020_1_20_5;23.1
2020_1_20_6;145.5
2020_1_20_7;450.2
2020_1_20_8;511.5
2020_1_20_9;281.4
2020_1_20_10;215
2020_1_20_11;216
2020_1_20_12;259.29999999999995
2020_1_20_13;253.4
2020_1_20_14;292.9
2020_1_20_15;362.4
2020_1_20_16;432
2020_1_20_17;467.3
2020_1_20_18;248.1
2020_1_20_19;121.6
2020_1_20_20;86.2
2020_1_20_21;76.6
2020_1_20_22;60.400000000000006
2020_1_20_23;34.7
2020_1_21_0;10.7
2020_1_21_1;1.2
2020_1_21_2;0.5
2020_1_21_3;0.6
2020_1_21_4;2
2020_1_21_5;22.6
2020_1_21_6;147.60000000000002
2020_1_21_7;466.8
2020_1_21_8;534.8000000000001
2020_1_21_9;297.9
2020_1_21_10;218.4
2020_1_21_11;219.3
2020_1_21_12;272.8
2020_1_21_13;267.40000000000003
2020_1_21_14;309.40000000000003
2020_1_21_15;369.7
2020_1_21_16;437.5
2020_1_21_17;478.8
2020_1_21_18;262.40000000000003
2020_1_21_19;128.70000000000002
2020_1_26_21;68.6
2020_1_21_20;93.4
2020_1_21_21;83.8
2020_1_21_22;68.3
2020_1_21_23;39.2
2020_1_22_0;11.4
2020_1_22_1;1.2
2020_1_22_2;0.6
2020_1_22_3;0.7
2020_1_22_4;2.1
2020_1_22_5;21.2
2020_1_22_6;131.1
2020_1_22_7;420.9
2020_1_22_8;487.3
2020_1_22_9;278.5
2020_1_22_10;216.2
2020_1_22_11;224.4
2020_1_22_12;279.1
2020_1_22_13;267.29999999999995
2020_1_22_14;300.3
2020_1_22_15;350.8
2020_1_22_16;413.7
2020_1_22_17;438.9
2020_1_22_18;252.3
2020_1_22_19;139.1
2020_1_22_20;94.7
2020_1_22_21;87.3
2020_1_22_22;83.8
2020_1_22_23;53.3
2020_1_23_0;15
2020_1_23_1;1.4
2020_1_23_2;0.6
2020_1_23_3;0.8
2020_1_23_4;2
2020_1_23_5;22.4
2020_1_23_6;141
2020_1_23_7;451.8
2020_1_23_8;528.3
2020_1_23_9;294.6
2020_1_23_10;222.2
2020_1_23_11;226
2020_1_23_12;275.3
2020_1_23_13;273.1
2020_1_23_14;313.3
2020_1_23_15;375.5
2020_1_23_16;435.4
2020_1_23_17;474.6
2020_1_23_18;275.8
2020_1_23_19;149.5
2020_1_23_20;113.7
2020_1_23_21;109.8
2020_1_23_22;90.9
2020_1_23_23;57
2020_1_24_0;19.2
2020_1_24_1;2
2020_1_24_2;0.9
2020_1_24_3;1.3
2020_1_24_4;2.9
2020_1_24_5;20.1
2020_1_24_6;110.4
2020_1_24_7;367.9
2020_1_24_8;441.9
2020_1_24_9;265.7
2020_1_24_10;215.3
2020_1_24_11;234.9
2020_1_24_12;293.2
2020_1_24_13;294.4
2020_1_24_14;331
2020_1_24_15;367.8
2020_1_24_16;391.3
2020_1_24_17;405
2020_1_24_18;275.3
2020_1_24_19;170.2
2020_1_24_20;128.1
2020_1_24_21;114
2020_1_24_22;110.5
2020_1_24_23;93.2
2020_1_25_0;45.2
2020_1_25_1;9.4
