userstopcode;userstopareacode;stopname
19180450;anesll;Ane, Slagenweg/Lutteresweg
19180460;anesll;Ane, Slagenweg/Lutteresweg
19180500;krihoo;De Krim, Hoofdweg
19280010;krimol;De Krim, Molenweg
19280020;krimol;De Krim, Molenweg
19280030;kri171;De Krim, Coevorderweg 171
19280040;kri171;De Krim, Coevorderweg 171
19280050;kridru;De Krim, Drukkerij Seinen
19280060;kridru;De Krim, Drukkerij Seinen
19280070;kri105;De Krim, Coevorderweg 105
19280080;kri105;De Krim, Coevorderweg 105
19380010;slasch;Slagharen, Schuineslootweg
19380020;slasch;Slagharen, Schuineslootweg
19380030;slaher;Slagharen, Herenstraat 108
40563009;strrav;Stroe, Ravenweg
19380040;slaher;Slagharen, Herenstraat 108
19380050;slawit;Slagharen, Witmanweg
19380060;slawit;Slagharen, Witmanweg
19380070;slaver;Slagharen, Vergouwlaan
19380080;slaver;Slagharen, Vergouwlaan
19380151;lutcen;Lutten, Centrum
19380162;lutcen;Lutten, Centrum
19380191;lutvia;Lutten, Viaduct
19380202;lutvia;Lutten, Viaduct
19380280;slacoe;Slagharen, Coevorderweg 89
19380290;slacoe;Slagharen, Coevorderweg 89
19380301;slacen;Slagharen, Centrum
19380312;slacen;Slagharen, Centrum
19380313;slacen;Slagharen, Centrum
19380314;slacen;Slagharen, Centrum
19380320;slaatt;Slagharen, Attractiepark
19380330;slaatt;Slagharen, Attractiepark
19380340;luded;Lutten, Dedemsvaartseweg 84
19380350;luded;Lutten, Dedemsvaartseweg 84
19380360;lutcoe;Lutten, Coevorderweg
19380370;lutcoe;Lutten, Coevorderweg
19380380;luttot;Lutten, Tottenhamstraat/Proatkoele
19380390;luttot;Lutten, Tottenhamstraat/Proatkoele
19380400;lutong;Lutten, Ongelukkige Wijk
19380410;lutong;Lutten, Ongelukkige Wijk
19480010;ded162;Dedemsvaart, Rheezerend 162
19480020;ded162;Dedemsvaart, Rheezerend 162
19480030;dedrhe;Dedemsvaart, Rheezerend
19480040;dedrhe;Dedemsvaart, Rheezerend
19480050;dedr60;Dedemsvaart, Rheezerend 60
19480060;dedr60;Dedemsvaart, Rheezerend 60
19480070;dedind;Dedemsvaart, Industrieweg
19480080;dedind;Dedemsvaart, Industrieweg
19480090;dedcel;Dedemsvaart, Celsiusstraat
19480100;dedcel;Dedemsvaart, Celsiusstraat
19480110;dedhae;Dedemsvaart, Van Haeringenstraat
19480120;dedhae;Dedemsvaart, Van Haeringenstraat
19480130;dedmag;Dedemsvaart, De Magnolia
19480140;dedmag;Dedemsvaart, De Magnolia
19480150;dedhaz;Dedemsvaart, Hazelaar
19480160;dedhaz;Dedemsvaart, Hazelaar
19480170;dedkri;Dedemsvaart, Krikkenstraat
19480180;dedkri;Dedemsvaart, Krikkenstraat
19480190;dedhai;Dedemsvaart, Haitjema
19480200;dedhai;Dedemsvaart, Haitjema
19480230;dedade;Dedemsvaart, Adelaarweg
19480240;dedade;Dedemsvaart, Adelaarweg
19480250;dedspo;Dedemsvaart, Sportlaan
19480260;dedspo;Dedemsvaart, Sportlaan
19480290;dedbus;Dedemsvaart, Busstation
19480300;ded115;Dedemsvaart, Hoofdvaart 115
19480310;ded115;Dedemsvaart, Hoofdvaart 115
19480320;ded207;Dedemsvaart, Hoofdvaart 207
19480330;ded207;Dedemsvaart, Hoofdvaart 207
19480340;dedrak;Dedemsvaart, Het Rak
19480350;dedrak;Dedemsvaart, Het Rak
19480360;dedpo;Dedemsvaart, De Pol
19480370;dedpo;Dedemsvaart, De Pol
19481260;dedbus;Dedemsvaart, Busstation
19481270;dedbus;Dedemsvaart, Busstation
19481990;dedcap;Dedemsvaart, Zwiersstraat
19580000;grbsta;Gramsbergen, Station
19580040;anemol;Ane, Aner Molen
19580050;anemol;Ane, Aner Molen
19580060;anevie;Ane, De Viersprong
19580070;anevie;Ane, De Viersprong
19580080;aneslh;Ane, Slagenweg/Haarweg
19580090;aneslh;Ane, Slagenweg/Haarweg
19580100;anesls;Ane, Slagenweg/Schansweg
19580110;anesls;Ane, Slagenweg/Schansweg
24350010;blespi;De Blesse, Spin
24350020;blespi;De Blesse, Spin
24350030;blebov;De Blesse, Bovenweg
24350040;blebov;De Blesse, Bovenweg
24350050;blefvw;De Blesse, Friese Veldweg
24350060;blefvw;De Blesse, Friese Veldweg
24350070;bdklbw;Blesdijke, Lagebroekweg
24350080;bdklbw;Blesdijke, Lagebroekweg
24350620;blenoo;De Blesse, Noord
24450030;mrymry;Marijenkampen, Marijenkampen
24450050;wloeik;Willemsoord, Eikenlaan
24450060;wloeik;Willemsoord, Eikenlaan
24450080;mrymry;Marijenkampen, Marijenkampen
24451400;swwcen;Steenwijkerwold, 't Centrum
24451800;wlowlo;Willemsoord, Willemsoord
24451810;wlowlo;Willemsoord, Willemsoord
24490050;spaspa;Spanga, Spanga
24490060;spaspa;Spanga, Spanga
24490800;schhoe;Scherpenzeel, Hoek Spanga
24490810;schhoe;Scherpenzeel, Hoek Spanga
24510040;olmjul;Oldemarkt, Koningin Julianaweg
24510070;olmkru;Oldemarkt, Kruisstraat
24510080;olmkru;Oldemarkt, Kruisstraat
24510090;olmdbo;Oldemarkt, De Boterberg
24510100;olmdbo;Oldemarkt, De Boterberg
24550030;zvnzui;Zuidveen, Zuidveen
24550040;zvnzui;Zuidveen, Zuidveen
24550050;stngro;Steenwijk, Groot Verlaat
24550060;stngro;Steenwijk, Groot Verlaat
24550160;stnddb;Steenwijk, Dolderbrug
24550170;stnddb;Steenwijk, Dolderbrug
24551420;swwcen;Steenwijkerwold, 't Centrum
24552310;tukgem;Tuk, Gemeentewerken
24552320;tukgem;Tuk, Gemeentewerken
24552330;tukomw;Tuk, Oldemarktseweg
24552340;tukomw;Tuk, Oldemarktseweg
24552350;thywat;Thij, Watertoren
24552360;thywat;Thij, Watertoren
24552370;thythy;Thij, Thij
24552380;thythy;Thij, Thij
24590100;kuibur;Kuinre, Burchtstraat
24599000;PGOF;Provinciegrens F-O N351
24599010;PGOF;Provinciegrens O-F N351
24610010;oszvbw;Ossenzijl, Venebosweg
24620110;rutlem;Rutten, Lemsterweg
24620130;lemhou;Lemmer, Houtmolen
24620140;lemhou;Lemmer, Houtmolen
24622020;lembus;Lemmer, Busstation
24629901;;NPIVU Lemmer, Busstation
24680010;ltguit;Luttelgeest, Uiterdijkenweg
24680020;ltguit;Luttelgeest, Uiterdijkenweg
24680050;slysly;Slijkenburg, Slijkenburg
24680060;slysly;Slijkenburg, Slijkenburg
24720010;rutlsp;Rutten, Lemsterpoort
24720020;rutlsp;Rutten, Lemsterpoort
24720090;rutnoo;Rutten, Noordermeerweg
24720100;rutnoo;Rutten, Noordermeerweg
24720120;rutlem;Rutten, Lemsterweg
24820030;crewra;Creil, Wrakkenpad
24820040;crewra;Creil, Wrakkenpad
24820050;rutijz;Rutten, IJzerpad
24820060;rutijz;Rutten, IJzerpad
24820090;crecre;Creil, Creil
24820100;crecre;Creil, Creil
24920030;espweg;Espel, Weg van Ongenade
24920040;espweg;Espel, Weg van Ongenade
24920050;espond;Espel, Onderduikerspad
24920060;espond;Espel, Onderduikerspad
24920070;espnoo;Espel, Noordermiddenweg
24920080;emmesp;Emmeloord, Espelerweg
24920090;espnoo;Espel, Noordermiddenweg
24920100;emmesp;Emmeloord, Espelerweg
24920110;espesp;Espel, Espel
24920120;espesp;Espel, Espel
24920130;creklu;Creil, Klutenpad
24920140;creklu;Creil, Klutenpad
25000010;emmket;Emmeloord, Kettingstraat
25000020;emmket;Emmeloord, Kettingstraat
25000030;emmlan;Emmeloord, Lange Dreef
25000040;emmlan;Emmeloord, Lange Dreef
25000050;emmbun;Emmeloord, Bunschotenlaan
25000070;emmoos;Emmeloord, Emmeloord - Oost
25000080;emmoos;Emmeloord, Emmeloord - Oost
25000100;emmdie;Emmeloord, Diemenlaan
25000130;emmeco;Emmeloord, Ecopark
25000140;emmeco;Emmeloord, Ecopark
25000150;emmdie;Emmeloord, Diemenlaan
25000160;emmond;Emmeloord, Ondernemersweg
25000170;emmond;Emmeloord, Ondernemersweg
25000180;emmpro;Emmeloord, Produktieweg
25000190;emmpro;Emmeloord, Produktieweg
25000210;emmzuy;Emmeloord, Zuyderzee College
25000260;emmzuy;Emmeloord, Zuyderzee College
25000410;emmbeg;Emmeloord, Begraafplaats
25000420;emmbeg;Emmeloord, Begraafplaats
25000430;emmver;Emmeloord, Dr. W.M. Verhaarlaan
25000440;emmver;Emmeloord, Dr. W.M. Verhaarlaan
25000470;emmnie;Emmeloord, Nieuwlandenlaan
25000480;emmnie;Emmeloord, Nieuwlandenlaan
25000500;emmmce;Emmeloord, Medisch Centrum
25000550;emmmce;Emmeloord, Medisch Centrum
25000600;emmzie;Emmeloord, Antonius Ziekenhuis
25000650;emmzie;Emmeloord, Antonius Ziekenhuis
25000700;emmu18;Emmeloord, Urkerweg 18
25001400;emmsme;Emmeloord, Smeden
25001450;emmsme;Emmeloord, Smeden
25005012;emmbus;Emmeloord, Busstation
25005013;emmbus;Emmeloord, Busstation
25005014;emmbus;Emmeloord, Busstation
25005021;emmbus;Emmeloord, Busstation
25005022;emmbus;Emmeloord, Busstation
25005023;emmbus;Emmeloord, Busstation
25060010;ltgbri;Luttelgeest, Brink
25060020;ltgbri;Luttelgeest, Brink
25060030;ltglut;Luttelgeest, Luttelgeesterweg
25060040;ltglut;Luttelgeest, Luttelgeesterweg
25060050;ltglin;Luttelgeest, Lindeweg
25060060;ltglin;Luttelgeest, Lindeweg
25060070;ltgpan;Luttelgeest, Pantropica
25060080;ltgpan;Luttelgeest, Pantropica
25060090;ltgoos;Luttelgeest, Oosterringweg
25060100;ltgoos;Luttelgeest, Oosterringweg
25060110;ltgsch;Luttelgeest, Schansweg
25060120;ltgsch;Luttelgeest, Schansweg
25070010;mkslut;Marknesse, Luttelgeesterweg
25070020;mkslut;Marknesse, Luttelgeesterweg
25070030;emmlou;Emmeloord, H.D. Louwes Hoeve
25070040;emmlou;Emmeloord, H.D. Louwes Hoeve
25070050;emmlin;Emmeloord, Lindeweg
25070060;emmlin;Emmeloord, Lindeweg
25130100;ensslo;Ens, Sloefweg
25130150;ensslo;Ens, Sloefweg
25130200;emmbwg;Emmeloord, Bomenweg
25130250;emmbwg;Emmeloord, Bomenweg
25130300;emmkle;Emmeloord, Kleiweg
25130350;emmkle;Emmeloord, Kleiweg
25131500;emmbun;Emmeloord, Bunschotenlaan
25140100;emmhsn;Emmeloord, Schaftweg/Nagelerweg
25140150;emmhsn;Emmeloord, Schaftweg/Nagelerweg
25140300;nagjpo;Nagele, Johannes Postweg
25140350;nagjpo;Nagele, Johannes Postweg
25150050;emmu18;Emmeloord, Urkerweg 18
25150100;tolu34;Tollebeek, Urkerweg 34
25150150;tolu34;Tollebeek, Urkerweg 34
25150200;tolshu;Tollebeek, Sint Hubertusplaats
25150250;tolshu;Tollebeek, Sint Hubertusplaats
25150300;tolu46;Tollebeek, Urkerweg 46
25150350;tolu46;Tollebeek, Urkerweg 46
25150400;urkudp;Urk, Urkerdwarspad
25170030;kgbzwe;Kraggenburg, Zwembad Voorst
25170040;kgbzwe;Kraggenburg, Zwembad Voorst
25170050;kgbpic;Kraggenburg, Picknickplaats
25170060;kgbpic;Kraggenburg, Picknickplaats
25170070;kgbmam;Kraggenburg, Mammouthweg
25170080;kgbmam;Kraggenburg, Mammouthweg
25170090;mkslee;Marknesse, Leemringweg/Sloefweg
25170100;mkslee;Marknesse, Leemringweg/Sloefweg
25170110;mksbos;Marknesse, Boslaan
25170120;mksbos;Marknesse, Boslaan
25170211;mksbus;Marknesse, Busstation
25170212;mksbus;Marknesse, Busstation
25170221;mksbus;Marknesse, Busstation
25170223;mksbus;Marknesse, Busstation
25170230;mksbre;Marknesse, Breestraat
25170240;mksbre;Marknesse, Breestraat
25170250;kgbnet;Kraggenburg, Netl
25170260;kgbnet;Kraggenburg, Netl
25180010;blzbus;Blokzijl, Busstation
25180020;blzbus;Blokzijl, Busstation
25180030;mksuit;Marknesse, Uiterdijkenweg
25180040;mksuit;Marknesse, Uiterdijkenweg
25180050;mksste;Marknesse, Steenwijkerdwarsweg
25180060;mksste;Marknesse, Steenwijkerdwarsweg
25189000;PGOF;Provinciegrens F-O N333
25189001;;NPIVU Blokzijl, Busstation
25189010;PGOF;Provinciegrens O-F N333
25230030;ensens;Ens, Ens
25230040;ensens;Ens, Ens
25240010;nagdom;Nagele, Domineesweg
25240150;nagpbr;Nagele, Professor Brandsmaweg
25240200;nagpbr;Nagele, Professor Brandsmaweg
25240800;nagnag;Nagele, Nagele
25240850;nagnag;Nagele, Nagele
25250010;urksin;Urk, Singel
25250050;urkudp;Urk, Urkerdwarspad
25250210;urkran;Urk, Ransuil
25250220;urkran;Urk, Ransuil
25250230;urkwkc;Urk, Winkelcentrum
25250240;urkwkc;Urk, Winkelcentrum
25250270;urkvla;Urk, Vlaak
25250300;urkrot;Urk, Rotholm
25250370;urkmdr;Urk, Michiel de Ruyterallee
25250380;urkmdr;Urk, Michiel de Ruyterallee
25250850;urkldm;Urk, Lange Dam
25250950;urknoo;Urk, De Noord
25251000;urkgem;Urk, Gemeentehuis
25259951;;Streckenpunkt Urk Almerelaan
25270010;volcla;Vollenhove, Clarenberglaan
25270020;volcla;Vollenhove, Clarenberglaan
25270030;kgbkgb;Kraggenburg, Kraggenburg
25270110;mksvol;Marknesse, Vollenhoverweg/NOP
25270120;mksvol;Marknesse, Vollenhoverweg/NOP
25270130;mksrep;Marknesse, Repelweg
25270140;mksrep;Marknesse, Repelweg
25270150;mksvow;Marknesse, Voorsterweg
25270160;mksvow;Marknesse, Voorsterweg
25270170;mksvos;Marknesse, Voorstersluis
25270180;mksvos;Marknesse, Voorstersluis
25270190;kgbpaa;Kraggenburg, Paardenweg
25270200;kgbpaa;Kraggenburg, Paardenweg
25279000;PGOF;Provinciegrens F-O N331
25279010;PGOF;Provinciegrens O-F N331
25280010;swoboo;Scheerwolde, Boomkwekerij
25280020;swoboo;Scheerwolde, Boomkwekerij
25280050;wribee;Wetering, Beenderribben
25280060;wribee;Wetering, Beenderribben
25280070;wriwri;Wetering, Wetering
25280080;wriwri;Wetering, Wetering
25280090;blovhw;Baarlo, Veldhuisweg
25280100;blovhw;Baarlo, Veldhuisweg
25300010;nagdom;Nagele, Domineesweg
25309901;;NPIVU Nagele, Domineesweg (w)
25309902;;NPIVU Nagele, Domineesweg (o)
25330300;enszwa;Ens, Zwartemeerweg
25330350;enszwa;Ens, Zwartemeerweg
25350010;bdkmar;Blesdijke, Markeweg
25350020;bdkmar;Blesdijke, Markeweg
25350030;bdkdal;Blesdijke, Dalhoeve
25350040;bdkdal;Blesdijke, Dalhoeve
25350060;olmpar;Oldemarkt, Parochiehuis
25350090;olmfri;Oldemarkt, Frieseweg
25350310;olmjul;Oldemarkt, Koningin Julianaweg
25370010;htvhtv;Heetveld, Heetveld
25370020;htvhtv;Heetveld, Heetveld
25370070;htvpcb;Heetveld, Prot Chr Basisschool
25370080;htvpcb;Heetveld, Prot Chr Basisschool
25380010;swojvn;Scheerwolde, Jan van Nassauweg
25380020;swojvn;Scheerwolde, Jan van Nassauweg
25380030;swosma;Scheerwolde, Smalleweg
25380040;swosma;Scheerwolde, Smalleweg
25430010;kpenoo;Kampereiland, Noorderrandweg
25430020;kpenoo;Kampereiland, Noorderrandweg
25430030;kpervw;Kampereiland, Rechterveldweg
25430040;kpervw;Kampereiland, Rechterveldweg
25430050;kpense;Kampereiland, Natuurbad Seveningen
25430150;kpenes;Kampereiland, Nesweg
25430200;kpekrk;Kampereiland, Kampereiland Kerk
25430250;kpekrk;Kampereiland, Kampereiland Kerk
25430300;kpewbr;Kampereiland, Witte Brug
25430350;kpewbr;Kampereiland, Witte Brug
25430390;kpedno;Kampereiland, Dam-Noorddiep
25439000;PGOF;Provinciegrens F-O N50
25439010;PGOF;Provinciegrens O-F N50
25439020;PGOF;Provinciegrens F-O N765
25439030;PGOF;Provinciegrens O-F N765
25440050;swivis;Swifterbant, Visvijverweg
25440100;swivis;Swifterbant, Visvijverweg
25450810;osskoo;Ossenzijl, Kooystraat
25450820;osskoo;Ossenzijl, Kooystraat
25450830;oszvbw;Ossenzijl, Venebosweg
25470010;dvedve;De Velde, De Velde
25470020;dvedve;De Velde, De Velde
25470030;zslbus;Zwartsluis, Busstation
25470040;zslbus;Zwartsluis, Busstation
25470050;zslbej;Zwartsluis, Bejaardencentrum
25470060;zslbej;Zwartsluis, Bejaardencentrum
25470070;krikri;De Krieger, De Krieger
25470080;krikri;De Krieger, De Krieger
25470081;krikri;De Krieger, De Krieger
25480010;kzdoos;Kamperzeedijk, Oostermaat
25480020;kzdoos;Kamperzeedijk, Oostermaat
25580010;gnmnie;Genemuiden, Nieuweweg
25580020;gnmnie;Genemuiden, Nieuweweg
25580030;gnmtag;Genemuiden, 't TAG
25580040;gnmtag;Genemuiden, 't TAG
25630030;ysmvah;IJsselmuiden, Vahl
25630040;ysmvah;IJsselmuiden, Vahl
25630050;ysmfui;IJsselmuiden, Fuite
25630060;ysmfui;IJsselmuiden, Fuite
25630070;ysmpla;IJsselmuiden, Plasweg
25630080;ysmpla;IJsselmuiden, Plasweg
25630090;ysmgro;IJsselmuiden, Groenendael
25630100;ysmgro;IJsselmuiden, Groenendael
25630110;ysmrkk;IJsselmuiden, R.K. Kerk
25630120;ysmrkk;IJsselmuiden, R.K. Kerk
25670010;hsevia;Hasselt, H. van Viandenplein
25670020;hsevia;Hasselt, H. van Viandenplein
25670030;hsecen;Hasselt, Centrum
25670040;hsecen;Hasselt, Centrum
25680010;bkeslu;Beukers, Sluis
25680020;bkeslu;Beukers, Sluis
25680030;bhabha;Blauwe Hand, Blauwe Hand
25680040;bhabha;Blauwe Hand, Blauwe Hand
25770010;zwlman;Zwolle, Mannagras
25770020;zwlman;Zwolle, Mannagras
25770030;zwlklo;Zwolle, Klokkengieterlaan
25770035;zwlklo;Zwolle, Klokkengieterlaan
25770050;zwlkar;Zwolle, Karveelschipperstraat
25770055;zwlkar;Zwolle, Karveelschipperstraat
25770060;zwlvbg;Zwolle, Veldbeemdgras
25770065;zwlvbg;Zwolle, Veldbeemdgras
25770070;zwlgou;Zwolle, Goudsmidstraat
25770075;zwlgou;Zwolle, Goudsmidstraat
25770110;zwlfio;Zwolle, Fioringras
25770115;zwlfio;Zwolle, Fioringras
25770230;zwlban;Zwolle, Bandijklaan
25770240;zwlban;Zwolle, Bandijklaan
25780010;giehyl;Giethoorn, Dominee Hylkemaweg
25780020;giehyl;Giethoorn, Dominee Hylkemaweg
25780030;gieker;Giethoorn, Kerkweg
25780040;gieker;Giethoorn, Kerkweg
25780050;giehar;Giethoorn, Hotel Harmonie
25780060;giehar;Giethoorn, Hotel Harmonie
25830110;kamora;Kampen, Oranjesingel
25830170;kamzst;Kampen, Station Zuid
25830190;kamzst;Kampen, Station Zuid
25830191;kamzs1;Kampen, Station Zuid
25830290;kamama;Kampen, Amandelboom
25830300;kamand;Kampen, Andoorn
25830310;kamste;Kampen, Sterrekroos
25830320;kamhdy;Kampen, Hilbert v Dijkstraat
25830330;kamkol;Kampen, Doctor Kolfflaan
25830490;kambbw;Kampen, Bovenbroeksweg
25830550;kamkwe;Kampen, Kwekerije
25830560;kameur;Kampen, Europa Allee
25830570;kamsym;Kampen, Symfonielaan
25830580;kamlov;Kampen, Lovinkstraat
25830590;kamlak;Kampen, Lange Akker
25830600;kambeg;Kampen, Begraafplaats Bovenbroek
25830610;kamark;Kampen, Jan van Arkelstraat
25839001;;NPIVU Kampen, GSG Pieter Zandt
40300170;rkmtel;Renkum, Telefoonweg
40300180;rkmtel;Renkum, Telefoonweg
40344001;shlape;'s Heeren Loo, Apeldoornseweg
40344002;shlape;'s Heeren Loo, Apeldoornseweg
40360009;otlrot;Otterlo, Rotonde
40360010;otlrot;Otterlo, Rotonde
40360013;otlrot;Otterlo, Rotonde
40360014;otlrot;Otterlo, Rotonde
40406011;wgnman;Wageningen, Mansholtlaan
40406012;wgnman;Wageningen, Mansholtlaan
40441001;loehar;Loenen, Harderwijkerweg
40441003;loeber;Loenen, Bergakkerweg
40441004;loeber;Loenen, Bergakkerweg
40441005;loebru;Loenen, Bruisbeek
40441006;loebru;Loenen, Bruisbeek
40441007;loelee;Loenen, Leeuwenbergweg
40441008;loelee;Loenen, Leeuwenbergweg
40441009;loehog;Loenen, Hoge Bergweg
40441010;loehog;Loenen, Hoge Bergweg
40441011;loehoo;Loenen, Hoofdweg
40441014;loevoo;Loenen, Voorsterweg
40451034;apdwes;Apeldoorn, Laan van Westenenk
40451075;apdkap;Apeldoorn, Kapelmeestershoeve
40451076;apdkap;Apeldoorn, Kapelmeestershoeve
40451077;apdegl;Apeldoorn, De Eglantier
40451078;apdegl;Apeldoorn, De Eglantier
40451096;apderi;Apeldoorn, Laan van Erica
40451097;apdjar;Apeldoorn, Jaromirgaarde
40451099;apdrad;Apeldoorn, Rademakersdonk
40451100;apdrad;Apeldoorn, Rademakersdonk
40451101;apdval;Apeldoorn, Valkeniersdonk
40451102;apdval;Apeldoorn, Valkeniersdonk
40451103;apdtur;Apeldoorn, Turfstekershoeve
40451105;apdlan;Apeldoorn, Landdrostlaan
40451106;apdlan;Apeldoorn, Landdrostlaan
40451143;apdsol;Apeldoorn, Soldeniersveld
40451181;apffgg;Apeldoorn, Ferguutgaarde
40451182;apdhee;Apeldoorn, De Heemgaard
40451183;apdhee;Apeldoorn, De Heemgaard
40451210;apffgg;Apeldoorn, Ferguutgaarde
40451252;apdkoo;Apeldoorn, Kooikersdreef
40451259;apdpar;Apeldoorn, Parlevinkershoeve
40451333;apdekr;Apeldoorn, Ekro
40451340;apdekr;Apeldoorn, Ekro
40451351;apdegn;Apeldoorn, Eglantierlaan
40451402;lievel;Lieren, Veldbrugweg
40451403;lievel;Lieren, Veldbrugweg
40451404;lietul;Lieren, Tullekensmolenweg
40451405;lietul;Lieren, Tullekensmolenweg
40451406;liemol;Lieren, Molenberg
40451407;liemol;Lieren, Molenberg
40451408;othdor;Oosterhuizen, Dorpshuis
40451409;othdor;Oosterhuizen, Dorpshuis
40451412;othwit;Oosterhuizen, Wittekruisweg
40451413;othwit;Oosterhuizen, Wittekruisweg
40451414;othvin;Oosterhuizen, Vinkenkamp
40451415;othvin;Oosterhuizen, Vinkenkamp
40451416;othvee;Oosterhuizen, Veendijk
40451417;othvee;Oosterhuizen, Veendijk
40451461;apdwdf;Apeldoorn, Wilmersdorf
40451462;apdwdf;Apeldoorn, Wilmersdorf
40451982;apdhee;Apeldoorn, De Heemgaard
40451983;apdhee;Apeldoorn, De Heemgaard
40459001;loeave;Loenen, Aventurijn
40459951;;Streckenpunkt A1 tbv lijn 206
40461003;hkpcen;Harskamp, Centrum
40461004;hkpcen;Harskamp, Centrum
40461005;hkpdsp;Harskamp, De Spil
40461006;hkpdsp;Harskamp, De Spil
40461007;hkpkra;Harskamp, Kraatsweg
40461008;hkpkra;Harskamp, Kraatsweg
40461009;hkprad;Harskamp, Radioweg
40461010;hkprad;Harskamp, Radioweg
40461013;hkphbu;Harskamp, Hoog Buurloseweg
40461014;hkphbu;Harskamp, Hoog Buurloseweg
40461015;hkpwes;Harskamp, Westenengerdijk
40461017;hkpjul;Harskamp, Julianastraat
40461018;hkpjul;Harskamp, Julianastraat
40463004;strhee;Stroe, Heetweg
40471131;apdduk;Ugchelen, De Ugchelse Kei
40471152;apdran;Apeldoorn, Randerode
40471170;apdmid;Apeldoorn, Middachten
40471171;apdmid;Apeldoorn, Middachten
40471175;apdvli;Apeldoorn, Vlietweg
40471295;apdugw;Ugchelen, Ugchelsegrensweg
40471300;apdmkd;Ugchelen, Markendoel
40471301;apdric;Ugchelen, Richtersweg
40471327;apdgpd;Ugchelen, G.P. Duuringlaan
40471349;apdmol;Apeldoorn, Molecatenlaan
40471434;apdhei;Ugchelen, Heidehof
40471463;apdhbu;Apeldoorn, Hoog Buurloseweg
40471464;apdhbu;Apeldoorn, Hoog Buurloseweg
40471465;apdvdv;Apeldoorn, Van der Valk/De Cantharel
40471466;apdvdv;Apeldoorn, Van der Valk/De Cantharel
40471467;apdgel;Apeldoorn, Gelre Ziekenhuis
40471471;apdhle;Apeldoorn, Het Leesten
40471472;apdhle;Apeldoorn, Het Leesten
40479951;;Streckenpunkt kering apdgel
40480015;hdlkro;Hoenderloo, Kronkelweg
40480016;hdlkro;Hoenderloo, Kronkelweg
40512005;bnkvos;Bennekom, Vossenweg
40512006;bnkvos;Bennekom, Vossenweg
40512009;bnkstr;Bennekom, Strooyweg
40512010;bnkstr;Bennekom, Strooyweg
40512011;bnkmol;Bennekom, Molenstraat
40512012;bnkmol;Bennekom, Molenstraat
40512013;bnkhsp;Bennekom, Hof van Sint Pieter
40512014;bnkhsp;Bennekom, Hof van Sint Pieter
40512015;bnkbve;Bennekom, Bart van Elstplantsoen
40512016;bnkbve;Bennekom, Bart van Elstplantsoen
40512019;edehor;Ede, Horalaan
40512020;edehor;Ede, Horalaan
40512021;ededre;Ede, De Reehorst
40512022;ededre;Ede, De Reehorst
40512203;bnkhbr;Bennekom, Hoekelumse Brinkweg
40512204;bnkhbr;Bennekom, Hoekelumse Brinkweg
40512207;bnkhei;Bennekom, Heidelaan
40512208;bnkhei;Bennekom, Heidelaan
40512500;edeste;Ede, Station Ede-Wageningen
40512507;edeste;Ede, Station Ede-Wageningen
40522125;edewez;Ede, Wekeromse Zand
40528001;wekroe;Wekerom, Roekelseweg
40528002;wekroe;Wekerom, Roekelseweg
40528003;wekwbu;Wekerom, Wekeromse Buurtweg
40528004;wekwbu;Wekerom, Wekeromse Buurtweg
40528006;dvalvw;De Valk, Lage Valkseweg
40528007;wekkru;Wekerom, Kruispunt
40528008;wekkru;Wekerom, Kruispunt
40528009;wekagw;Wekerom, A.G. Wijersweg
40528010;wekagw;Wekerom, A.G. Wijersweg
40528026;hkpwes;Harskamp, Westenengerdijk
40541002;loehar;Loenen, Harderwijkerweg
40542001;halhbr;Hall, Hallsebrug
40542002;halhbr;Hall, Hallsebrug
40543003;eercol;Eerbeek, Coldenhovenseweg
40543004;eercol;Eerbeek, Coldenhovenseweg
40543005;eerlou;Eerbeek, Loubergweg
40543006;eerlou;Eerbeek, Loubergweg
40543007;eercen;Eerbeek, Centrum
40543008;eercen;Eerbeek, Centrum
40543009;eeroff;Eerbeek, Offenbachstraat
40543010;eeroff;Eerbeek, Offenbachstraat
40543011;eerrin;Eerbeek, Ringlaan
40543012;eerrin;Eerbeek, Ringlaan
40543013;eervon;Eerbeek, Vondellaan
40543014;eervon;Eerbeek, Vondellaan
40543015;eerhun;Eerbeek, 't Hungeling
40543016;eerhun;Eerbeek, 't Hungeling
40543021;eerbee;Eerbeek, De Beekwal
40543027;eerloe;Eerbeek, Loenenseweg
40543028;eerbij;Eerbeek, Bijenkorf
40543029;eerbij;Eerbeek, Bijenkorf
40543030;eerble;Eerbeek, Blekerserf
40543031;eerble;Eerbeek, Blekerserf
40543032;eerydi;Eerbeek, Ydinkerf
40543033;eerydi;Eerbeek, Ydinkerf
40543034;eerodi;Eerbeek, Odinkerf
40543035;eerodi;Eerbeek, Odinkerf
40543036;eerloe;Eerbeek, Loenenseweg
40543051;eerlan;Eerbeek, Landal Coldenhove
40543061;eerzwe;Eerbeek, Zwembad
40543062;eerzwe;Eerbeek, Zwembad
40543077;eerklo;Eerbeek, Kloosterstraat
40543081;eerboe;Eerbeek, Boerhaavelaan
40548001;eerkol;Eerbeek, Kollergang
40548002;eerkol;Eerbeek, Kollergang
40548076;eerdie;Eerbeek, Dierenseweg
40549951;;Streckenpunkt kering eerboe
40550001;apdvha;Apeldoorn, Van Haeftenkazerne
40550002;apdvha;Apeldoorn, Van Haeftenkazerne
